Date,Open,High,Low,Close,Adj Close,Volume
2018-02-26,10888.370117,10966.320313,10888.349609,10956.799805,10956.799805,25400
2018-02-27,10988.429688,11008.030273,10909.790039,10919.150391,10919.150391,40900
2018-02-28,10855.230469,10902.290039,10829.230469,10864.950195,10864.950195,40400
2018-03-01,10858.059570,10901.240234,10810.759766,10821.139648,10821.139648,41300
2018-03-05,10813.120117,10813.290039,10681.790039,10713.769531,10713.769531,39100
2018-03-06,10792.780273,10805.910156,10574.150391,10602.719727,10602.719727,29900
2018-03-07,10591.549805,10609.309570,10496.240234,10508.940430,10508.940430,37800
2018-03-08,10566.519531,10613.969727,10484.570313,10587.379883,10587.379883,40300
2018-03-09,10617.150391,10648.269531,10560.679688,10577.790039,10577.790039,32600
2018-03-12,10626.700195,10763.379883,10626.700195,10751.179688,10751.179688,29400
2018-03-13,10726.009766,10825.200195,10720.769531,10773.759766,10773.759766,42000
2018-03-14,10744.660156,10784.139648,10701.519531,10772.160156,10772.160156,38200
2018-03-15,10773.280273,10790.759766,10716.719727,10730.030273,10730.030273,40700
2018-03-16,10732.299805,10732.809570,10564.860352,10579.910156,10579.910156,33100
2018-03-19,10605.540039,10606.959961,10444.419922,10465.660156,10465.660156,31700
2018-03-20,10438.940430,10524.349609,10419.099609,10495.580078,10495.580078,36900
2018-03-21,10528.009766,10608.000000,10508.070313,10531.839844,10531.839844,29500
2018-03-22,10549.969727,10582.480469,10473.150391,10484.410156,10484.410156,30600
2018-03-23,10369.919922,10393.990234,10317.269531,10368.330078,10368.330078,29300
2018-03-26,10353.940430,10523.919922,10337.120117,10507.459961,10507.459961,38700
2018-03-27,10546.780273,10607.589844,10526.879883,10565.089844,10565.089844,34500
2018-03-28,10539.580078,10546.669922,10487.669922,10502.610352,10502.610352,108700
2018-04-02,10525.740234,10620.959961,10517.559570,10612.019531,10612.019531,30100
2018-04-03,10598.389648,10666.410156,10582.179688,10655.459961,10655.459961,38200
2018-04-04,10680.490234,10696.879883,10523.980469,10535.139648,10535.139648,25400
2018-04-05,10614.990234,10739.349609,10610.730469,10728.580078,10728.580078,27000
2018-04-06,10730.179688,10772.860352,10701.150391,10755.179688,10755.179688,28900
2018-04-09,10767.509766,10817.940430,10748.980469,10798.009766,10798.009766,56900
2018-04-10,10833.259766,10848.019531,10797.009766,10816.459961,10816.459961,30100
2018-04-11,10842.889648,10844.799805,10770.589844,10824.519531,10824.519531,25600
2018-04-12,10836.669922,10881.870117,10807.559570,10862.000000,10862.000000,21900
2018-04-13,10885.219727,10929.110352,10857.209961,10886.530273,10886.530273,22500
2018-04-16,10822.089844,10942.980469,10808.179688,10933.469727,10933.469727,26400
2018-04-17,10955.299805,10968.440430,10907.910156,10957.179688,10957.179688,64700
2018-04-18,10976.780273,11009.679688,10919.129883,10939.809570,10939.809570,46200
2018-04-19,10962.910156,10990.469727,10962.379883,10984.639648,10984.639648,28700
2018-04-20,10979.660156,10995.620117,10941.110352,10979.370117,10979.370117,26800
2018-04-23,11004.269531,11054.389648,10957.969727,10994.009766,10994.009766,26200
2018-04-24,10991.769531,11042.759766,10979.459961,11019.450195,11019.450195,24300
2018-04-25,11012.309570,11021.969727,10940.830078,10972.660156,10972.660156,22100
2018-04-26,10984.519531,11030.459961,10966.679688,11022.419922,11022.419922,22000
2018-04-27,11034.179688,11122.830078,11033.669922,11097.129883,11097.129883,29500
2018-04-30,11119.379883,11172.370117,11114.080078,11152.969727,11152.969727,19200
2018-05-02,11200.469727,11206.400391,11081.139648,11108.660156,11108.660156,21200
2018-05-03,11125.910156,11125.910156,11024.570313,11055.650391,11055.650391,20000
2018-05-04,11067.849609,11082.259766,10983.370117,10998.000000,10998.000000,20300
2018-05-07,11023.360352,11101.339844,11014.080078,11089.900391,11089.900391,25900
2018-05-08,11125.450195,11133.200195,11069.150391,11090.299805,11090.299805,29200
2018-05-09,11081.059570,11125.639648,11067.330078,11098.120117,11098.120117,21400
2018-05-10,11105.429688,11139.139648,11036.690430,11048.849609,11048.849609,33100
2018-05-11,11064.389648,11149.440430,11053.849609,11135.469727,11135.469727,30500
2018-05-14,11139.790039,11160.959961,11096.799805,11116.440430,11116.440430,35300
2018-05-15,11107.599609,11242.870117,11082.360352,11104.339844,11104.339844,36200
2018-05-16,11079.419922,11098.669922,11001.349609,11053.150391,11053.150391,40700
2018-05-17,11080.490234,11086.490234,10988.549805,11005.160156,11005.160156,31800
2018-05-18,11006.400391,11011.690430,10895.070313,10901.900391,10901.900391,29000
2018-05-21,10907.889648,10932.919922,10799.900391,10810.780273,10810.780273,30003100
2018-05-22,10804.129883,10859.780273,10782.160156,10849.160156,10849.160156,35300
2018-05-23,10843.669922,10849.160156,10731.879883,10743.830078,10743.830078,34600
2018-05-24,10763.799805,10840.610352,10727.040039,10816.570313,10816.570313,39700
2018-05-25,10844.990234,10953.549805,10828.679688,10928.900391,10928.900391,30700
2018-05-28,10982.690430,11038.740234,10964.709961,11022.839844,11022.839844,31900
2018-05-29,11034.099609,11047.549805,10946.269531,10963.080078,10963.080078,30900
2018-05-30,10938.440430,10976.000000,10895.160156,10943.700195,10943.700195,30800
2018-05-31,10988.139648,11060.650391,10947.009766,11040.769531,11040.769531,38900
2018-06-01,11060.610352,11081.129883,10984.620117,10995.660156,10995.660156,66100
2018-06-04,11068.160156,11080.370117,10912.509766,10920.139648,10920.139648,52400
2018-06-05,10923.559570,10933.429688,10835.929688,10874.719727,10874.719727,54000
2018-06-06,10882.709961,10991.169922,10872.509766,10978.950195,10978.950195,34900
2018-06-07,11006.280273,11115.990234,11006.280273,11070.769531,11070.769531,36400
2018-06-08,11055.580078,11090.790039,11020.799805,11080.440430,11080.440430,28600
2018-06-11,11088.650391,11162.030273,11085.469727,11095.809570,11095.809570,27700
2018-06-12,11111.349609,11168.080078,11100.519531,11154.389648,11154.389648,30700
